direction,message
Received,2b973a9d4cd44f4810d6a71de9113a9f0d3a418cbdcba86b4025b43270499b6b451faf33ba941ce5d166f0ad3c394d1574882f29fc2045f59f3306bbc6d9e1a4fdb8e3189bec9e87e332e27aee324080423cba1d8302d1abfff74f7a7c1804cc0c393befd086956ac35c9f19df4dd3892b0f2c4453e5b5fef0a5812ccd2edc845258e01e749449d55b2bbf4d0a22809f0e51c980bb5fc06c6bee2a933c9f90a50e8470f6753d268347e6504da9ab7f58c43093aa33e08a121973f46edfc9c06ff79c5c4091c7aeb91ab86a8a1004c581fd2900962f40b13798f74ddbb77a7f307b11b8e766bf59547a0a055f0474063f705567ec7a86071196e35c3d157af0b2a9ba0e74a34c9d82c7783bffb1cbd463bf87324a9dbb88a70e439950e6017e3f6c8fd13e7bc8bd64713b0c99aafa69662fa600073d6fa3f85960235b0f16f2c475b48ab317dfe6a195d4bd91f6acc063a41d9788481eabd22a663e0232e7f0fa9d725d3432ff9a8ddc6b7c0197e99e51c9592ccde3b7ca8c3478b8c42f483ed9ce886e49b008d299dc8c1f72bd41d0891896a25a5ebd61564aea4f200eac7bc33bb17dce3ed25c46ad9fad63dd92bd7f4a7c50d93bfa611b69ddddcbab8b3fe56b86cc4e0b747e65b1c9ab4c686c68a19b8a974264dae2a829cfe6b8f403fd846e7e3eeb95e7749f9c744c166e8ce6815d002fabf8dbcb9f07fb1c04b5aaa831dabc8806bbb02987d9ece262f87e5dc1008c117e29bb3abc77f746bf2ee3f1dd2c4f309fc4d4a6345814a5b4c730df01159449853ab718c016405c12ec59e7291f29aaa6f372ef4c40e877f856c2c118cf83e7768c4d21bd7594e70df4cb6c534571b560516d0b4c2bb421d6d0a4a5919d2c45aa716979a6eb5efed4b23230226658d45e9dae91a59a7c7f3d909c8ee99f4a78ffae568010e3447e2b3d0040ce04348e5977e56613c7e21b872471e9d3f0b733d9bac4717e69d967b0ecd9875e622ea8f2774a706e80fce7b609198c95a68adcb40a5f49a71cb6e715ef13a7b819489316db5a5f48998e9e6c60a0f376b95a4e59ad017a1412485319e67338300ddb6f751fdb5f0cfadb1a190bab47c3eaacc3f357c55475215504a676c3fcb422a9ca00ab8f62a24b5e65ea93d40eb064ede562a0e247b2b7003da6dbbd8fa5bdaf42fcc63b862b3959bb25626e41fc3345146e61488679a02119ed1b2de79a63ae8ea8c6f894c43ed5f1e87bf9357a87f34923ebf238ccf2e00fbcb4d542a0c11c50e17ba2352c6f8a505ad5b6166dfcdc9e31e60b1e5d39597eeed9f5188ecce7d54a0aa50c0cf282542837ee6e1ccebacb2f5aae9af9921f8e564596ea7ab3e6124fd702415eb5aef201098d3517660facfbfd2ea768b04bd5d06343fdb2d1391621c8f266fa9c29c926a569b4d373a6f9bcf0a399bedf8daa3493fe2949205d7e556f0fb9b19dacb826a74141f7d346a0ce35d9
Sent,015a80e2e7484f783d7086fcd13790ddf2bc0c0ec2bca09c06debf635e9e14777481161488c1a3312f66512ff8b31fd738e052105da4516325d515e71cda3bf0a55c523d948828811b650671936d03b30eaed6b9b0b42bcfd2ba6671d7728df321940cb7c6f97d0fef443920fa711312feddce7c6995fce267cf1760f5f5a851a06353c075450b319817e59b3e79a4bb1b25ef7274648e83006bbd5e95a1b5141a19f3ae1bd21bd959f0321aeb858acca6d418a2c27d0613c7add89ff13de491637ae71b6a219ab2d3b301ec87efcf7836c3f2629603c6318a6386a798693533af7473baf0ae57da77b02d6801aba54754a7a52e1ac92803e0203ed793b34d3cc3789fee2a3fd5c58e0b68431592b930a1ac4e57ad7b6dea6ff878ba5d70153b0c1d5900942bf1e64e74edb635fa6b6c0a14fa262abfe94fb4b702edf8a7def832b3abe47411d045f9fa18f5d2a976698f9b05bd284afd59188522c4
Received,00e4b3e4cd3774177087936f0d6fe1fc2b08dc4fbab89cde8bc32f20cbc4f33eab1138d3e81515fc0906b4dcc51d8cfcaa6f91ba3a9d529a2d0c4eefa545fa378485159bf7fa82d153845cd09628ec07cc3652090e2424b8bb742e237cf28697066403703e411b7b7ae78aae89755bf6673ac09c995652ec052cd735e6d7fde86e55ae2ce207e11154453f57ee72a8ecc25253677ebb480fd66559780ea0269dd76375f4e7024b3a7554906a76db824acc56d65acaa1541102a2761f4f0e4fab8a10aea06f304da5bce70862df2648ab93141887564e91a227ab80fa127c7ca07a7acfb1fcbb
Sent,00da6735609cf1af2d79249839a1e810a66b07f7b4b076990cec9250b1a07b627e31ed34e83a7eb2346d6126c6d7782f3a4ece62370128af4e39cd7a7c44a9ad7403701f246ba92d8866192b94da427e8db2b9a82e2893abfb9a4cf132e3c8b6917ca24d76ccc7dd3b5dd7de848cc5ad8c6179278a9c98c2fecdf2b1657d125558b1cdc03ecdd0e65b78e2d900bbc498cdc2522d1871db279a1e3de57020e23e4c6650e783cd92b8f7269cd25a8807382d88567a6464887fcd359c039737b91a897aa699e0a90cf774c8b75124d2040ed9cf6b7ae457db125702264e
Sent,009e335bb7616a054d739443e5a516b317c1e7c0f717b98511ab70abca6d557d7ffb1cb1ee6c8e68259fa46177996aadf1a0c067d4c13c77bdbfc6aed564a0d44eeedf7effe46990928c917d1daa791b55c83721d6856a4fe26788d9ab6b0e82fa8eaa6654c34f2588e09b40dfcac586e1f5f93ee12056fab5b0ef358afbc8fb22e33a4a16cea03a3e554d6546757608cd56154538a1c2953dac1caff2afa403
Sent,009e30f297e354f9b3a130b4e5549c929c412eff3df18cef4ff06512540eeb4f452ec6a9a3e6deb8b072bc7df26f4a3c7b8a0ebac1fafe3c2cb863d908cbec5d7a62d138e43286bf47fb2da6b2c835de5ad3326fa45ca53a612871e15505ed87d2f4b1401a4186477018dc60fa36ec54f61f7b406bce1b29a627633f3a187c0a58940dcbc26a7d138742b73eca9f62162ce499957e0262a78b9384b559c6a20b
Sent,009e44b39a584337197a98959067ff024710d28050ec7786570956e03a811601ba68a07ccf995083889f380b66f518fcd68ff957e46824cddd4c9abaec848dbfde8348e60421799e1b9f338b41ecca77188d0e0bf52b25bf5bce57b5cf63451d3259dcb5948d98bc20ff0058ea0b98b9966d4ed0a3bd5854993bf9052d6a4d69ab22d706ebd6e6be0e1f9c462088d0ea5fc02b25591998d1071faeab8f3d1107
Sent,009ee692661bf2638548b5d7326b8b3c5904b9b06268886494844d658851349084e1799864d7fc3859ce8ee6a1c8b80ca0c07111355d39ccdbe364e8523a05debfb77e5d85c6b104238ec523b45e86ad09b7c4b6f7a9e36a7f00d36c6e7e56a9ddd2ee28e09955e45e66d4c68f3ec1f699e0f2dc2536adae2c3f7f76ac74cc7ddef9a024bc7304933139de8fd56a0458db1394d2d52652302a06ac0a99d7e14e
Sent,003a05e97b047a8d04dc64f69fa3f5201d93fe837abd7d147842806c0f3cc72adf24ed4b4a9851a6e93a0dc978da86bd297cfeac56dd5f88286d3918
Sent,009ea91165472d0a1041061ced10cee43e8f6eef3882f48614d4305d1f7bbdd897c6a52db67697d9214604a0a35e9ff0958ddd9f8fc65a3b8565eba5126e2f895585a4d08936529f907ce4389ed29e3153944b89de60a43ad1b9e6b6205129de6d62652ee69af125933f82c7d8680253cdd1902b49949489b4cd5d9e23c8675659907c45dffa35a3b2619d6291082a8dc2c9b18f0f2554709f313196afef3353
Sent,009e370ee51f25963a49da0ac876e27b4c30426d5ae9a7025f5cc2dfd3d8aaffd43c79068156a336bc9adfff7a7ce20d96a91f9fc2c0af23224671f9b5aa2eca115de1a0db7c6bffac4541e3f5c3b3402b61d8b5ef746bfdbaa00a1bae7c268bacd34227d025ebfd689f57b673392ca5f16297a772dc856d9d7dc804837e1f90d0e4b44593867782ccee114d9e87e897370231af038abfffe0135f1d420197d9
Sent,009ef7cd3f7bdad8e8c9bb7f489f5f7107cbe123b4f9864ba8bcc4eff5fbf88620d11ef8e1c4a79c90548dd4aeec02f28c58bebc4c51a8b777d1b766523829154200d8dd222276b9fb2b4ecb4ec55ec42d1a92b421478ed7c2814edde3a450c9f3b66accc5c455b7b6dd986548b68890621e277f6b69491c30e2aa6ebbb059ad11c9c28d3858a5194f4fed7541dc24e325c9e98d2bbd1815de962c295aad4ed2
Received,81f5abb4f63b2ce05e7d59253ea162116f46cd344587c3e5e395f8a8b0b7babde2d2383f23e8b1f2e722f2c7667a9637630e0a4952592d42a756f6f797d0989dce3819f6bca5b3929be60a3c0ab959beb6ad2bdc31c0c0aabc5a079b1bf9aa3ec7fb3dd2fb1fa62134209df1b25f31fb082f1c09c60233f430749d18442d061713c72f70d0a2b879e955c4d69924a955b765efff5ef0eb84be7fdd4b0c723a1cd74d00e4f699cf15bde3ea5cd19333b21f4392fdb4821d8e70ee37795bef2101f8320c40fd1057be45f4aa0226beecf9cd1f3102cb2d111c37a3cf4019aa97376fa84ca62658ff122e94c7b5ea38865d324a40a4e3b1d83f2b187fdbbaf653549a21eaac246cd5291f3ba017394fc58599b1cc4f97b58246b767dc2ff5331a1d0b0b59efc7495849caae29686a737c805989daa475f99f98c0527d4d9269a4ece875c3aa9d53138e05b78a79ebfbdd8623d1d6a633db402ca15f334d6d707709569e63d370f87752147ac2d04febacb9070b4e65feee6cf4c102ae81371ff33c9d753909df9606a800e4d69f0b9ab5d63855565261a3a397d12ba6c31fa5f474909ad51cb833f6f166349cd310fbf323c2f7603f3894ce9160517e87dce960e4666ff32658084ae2a9b22a7278c0a0aae1aa6d8a8fd5fdd0d03811b3197c34be4fbe6eafffef3d2a037c3014d14bab72d99883f633d5d9bf8f09f9ae3f845ac7a16a45dfe3c56999cc508e3fbca5c25b11c69364fd8d5e89706e29357c3aa701c5c67464919ea85e8a6d1bbc2d611cb0009f046b9d09d6020cd5f594407d2ee24f96b72553f61cf0dcb64203f1dfd4ca6e6a04241f53c3d3de89557b92dd3ac64c730bda4264479fd164d63e4363
Sent,007a07c09df9320f19641290eba7e2f12256047aad127ff5988402799d8f037840a411b6f017e323e4f1a51aec6161b50827299caaceb15f12f8538b2fb149268ef9f64626283a93cf1abc7b48f2f30af5898623696db6202ad0c0a17e07b8a06b5b9efb64e2ede8b4cc9c80cc521dce8df7e7e55f57acc8ed1e3c84
Sent,009e3cd4dd3f74004e6720295737670283f2cfd45e84fcf4a305defdc33f2d9be9b1a2ca10b5fc5fcb22cf02dc4999ef616d372f58407580eb19c03dbac125821ab97043741beb7de17af343e78818906293ccf141c077992ecc26a6cf7c5dd1b53857978e66c6814005747f461caf0b6168c9367a708001dd1f7b1f7e5c2e94bd5fa8fb1a14f26a000b4c47dbafd05e5ff97a88d10dd320842f484354350c0c009e3184750d577946d76e644b7f356671da57688169b2f8101ee6dbbe8439614af3e3828e9f5b6b0c677d1fe1389f8206aa66780399fcb4f118aec9f39c482604cbe1635bf8c1d7005ee3d8419a6c7de69a090301b67fba5c44ceaa5ac6b3602f11007cde1da98a9046049306f3c7ae1ea21dfa339001851d13c44d05b242bf51d28af68004a3682d3a19bc26c76a8fbb3ac35340f62d11e91a6e3360669442009e9a4f24e00daa6a9f3745b95ed07b74afb4238fa846436cf46be2dda4b17d05041aef98b042c7d1976792a32cc998b0e1ce1914a07c0e1f7a108b272fa3da3edd7bd410d5132853d906496b3d27c823bee4983c6111c3d97a062e9a026d79e21b2c64f0304b3b4130e286148b0d99539ce3557f9cc05c2b28b3113d976939e4a7b743f0fa4f2ed77dd3a745ab6dc3cf536f3f360fda2a37d4968425504fd3
Sent,009a0e1870ed69287a396924698d978397353a27177718f885d4525cb603c0a0bdaf15c254437e6af5cf424fe90e807bd9205d0b1a116d1a3a5a5279833263447327266e31ebd531c1b031c7a64f17bf33891c5b146cf0e24be60a1595c0fea11eaa96658b5828ed031bee1bd37f4e25eb13ffd4e2792979a6f4bc917fd3311b449c8165bc0d0b5d580e1873b2822d4c62d8ad6f6659979f2f0dbc14
Sent,005a849947bca61e8e6b1501dd47bbb0922067ee3846da2ea8b773317919e32a410e425ec57b70e9af3dc83270c6cf989fd6316d467ff3e5cf05e29afab529ae2ef10c64ee9bcb29d90f02790b3226e5cd4eb07151c2545f450adfd8
Sent,009e9b1290b92c1b984b3a6186bec05a5386065689f0697667d261f0a4b9dda62f01f61562abb65397d2349763d298d4ec06964d4a62fb8b67eb98755226192b3719d7470d34ee615dcfb7cecbca67f83ac55b263317ca733f551bf08d64afb9e0fffe210d73beb0573d4515aaf1698b5d2eedc1b727da8392206df1368b4bd870a0d7dff716c06968ee956d714954139120d1fb7caa56c9489af0f2d77cd9ef
Sent,009ee2914fb88afaba32b74184a3acfec0889e9674248c649c0beddb4a9b15ae290922357e9b7b92cd9f4848123c480d2550f29c0b0ec434bbd7b1ce356e7e09a80c48beeb26ff3993536fefb87ddc253b5cde99ec4bd8fc33759110a42899260558aa0db75b7e9d9deab6bf53252da5a82f928be79a338a0e13e0756a61ff3ebc39383c385d7781cb1820146fcf0fd6cf4d7123c62c364c19bb6d778c372399
Sent,009eb22f50d00dfd6f1ea29bc2933ff3c79674b340acbe4781e6d44dd171b3303d8d608afbae86a2069234f6cba7fd5fb4987e0a41544ccb0713faf22c4ac90f3f342864f5dc03bc216fa94e1ec3cb788797c3c2f6c62e99f4702cecc727dfe603d6e25b2d258cac8aa192ef234b5f9e01bf3e27a5ef36e77176f9ded358d276acf3b179fb3871c9cd04af27fe9f29bb2e4a6963bbd69245b11a533789f25672
Received,29e95ec91f0cc3625bdd92d7a31867b271bd0ba7c325559a2e35ff1596c63b87440ddffef30d6343615b6a3b816b8e31554fba0df4789aa976b815a35e6089d0d9309fece8eeff8f0ac3676b1269c493266cdc8a2f32c3e6452da697cad94ee2be97cc0631428f657c8048861723cac0cd19ca0fa615086492e1fcd06812596df66257cede7ad58360c7c766f4f0c1cd64ad0c15b278170551d953199e85d730910225d561de2de753bfd31eb5aa48674d1011e0ff3b7502004500202979e44cd1b6a606f6aeb0bf9f15372d918b0d827a7eb405d11a1e6d0534e48146c6fc5623ff41904cc3791a072613edd06a3c48f5b2bf714f893adeee98a50326cc12f7b55b6752c47f18b156348f3e9c693aa34d9c62d2514f3d8aaa4261e6e8b7885f22dc240bd52e2def6e1d3370ad49a1c1f49b3ed216a22f223dd73fb9cbb218d7ff5855a12aed2b72cb3d5398376ebed3e7235a6c09e306e19b65053f1149bd75f8466123c31d377614833175f6463c4e321cc66745931bdd10c4c71926768181ccb9aaeabce8c4d4c1182ab93daf062377abdc3a77168a513ccd4108b10c08fc1a2a1f01de1ea12720bd67210db85e2efcc2fb0700e19ab82f895ef464f4d83f7a3701a5478f5632602d8ecddec6f6d36b0b0519749e8bfa9a41ed09efd879aa73f1380c23eab8bffa2215ec786069b936c599c2f347077e4c8a664608f6c0ae53b5c7d1ec10264773b3bee524ea746a10cc711457d39d9d109fe629cc8dea0ee08d31e39f097005c6cb9a0c53b4abf693c49dc976732e1e951f5d39b828f3d00e11470f183490f3fb93c0840ba05bf4cad2a8fbacae12dac1813406d5e0b3efcaf24bc89fd3c71871389bf52eda7226f149ff95aca1c3d9f0a537ac7f23135014e2c7516ec5bddc00dfb5d8e8c3552075e25b67637aaf799b055af94339a35629d0dc021ba7fefe047c01ef39340e4b6b82f7f43c6a1309311ff015cd5590d4d62ea22bb9aecd28b076e57385968d8c52105f42bdcb1731814c0b9f362a77ae5b15c389e2b68308aa025e03c2ffb3b0400be0b33efd39ac77220fbb069e733bb3d213e805a5b8881c630f678b079e9559990de2df8280fdbb450a62711b166490d65070bbf6b2cbd42cbacf166a8e53c6bb3961dbbdac2e9a8f4e906f65f8665818a9e3d83afd74d79702ef6ef9fa85b8e07e2abd65533073484b568f8620ece49812779fd6137810cabc54c93c2f650bd90b65f95886c85702c96bf4f40469c2ea1b753f61616d64fe32170291e1f4f4c5a8c5aa3296675080224e994ef773210a2a42c981edb9cd0d07df47a6c73efb8af0eb1858390d8009f9ff213225586ca4eaa50f50e1dcd8997ab10809d8d79a929daa4ce7128eaee0f87b8c3672572a4d56b94fb2afa48075b8cdbdc1dc6d145ca45bd3c24f0d20023d9ee28f71b3b73263d18f62f19ab0303c04ee893294ef1b3d06843ee6a86dc63e59130910036324e9c71c275d73b27f43b931750ce4c0d8a1c7baa3b02bbeec341f0a9a14a08fc5ddad9e1a757de8af9630871ce07d65be3a85d1e268d3bd64da473c58d49e28dd0f9639490ff9ae007a74995d66cb350b1cddbcc31a66d3d5b3475c45b58f10aa4931b515faabb62def73cdb51d6675f404d45d129d00291aeeb0c94277c27f6014985e8cbdb65bae83a50302b00452b85c0f8c164d2a891cb737b77c1796f07a1fd2da3ad80e153b5e764ea0fafc167d1d536587b1ce0987740f0484dbef93eedcb36e007afffd5dfa7fd1ad6b647986c4eb6666070ebc2c1f39bae9446999531f20b225d3ad88fbee3ff5d5edc901187c753324538775885ccfdc10d71a3a4c77716a4129cb74ef2e37838f5d8df5a5cf8bdfcda600a13edf640daef6c4d8e3884d1c47695574f4214a6a1e4d7f288b22411918dbfc6e67bad7d7c377c5c6
Sent,003ab3fe8acc51653ee9defca8900ef854b8c32a03374a5df6bbbf27ede9c90779d05f1f8357cae195af9da178ace4351621610e13557e04a32766aa
Sent,009e1a0e6727cd7773d29aaedcd2e2ff9a198d74be2fae11a9cf3a6e084597e79488e20ac9f1f7b1e7947cd83e8cb852c77d01a9138cf91d20b78fc5652cd5d226b2aedab9b7064c0e9c4b100e054ad9fc6ed20ddca15829d22798ca6ecda838b9604f4bfe96cd879ff9723af2d52116eda9fd27f6720653c0cc214a5f843891edc0e2375a1a9bf75c3bbde646a335cb083b2f844f83ccc3e49c165369ddf855
Sent,009eab73fa4f2ea243c14cb8371853fd1ac49fdb09551fa6c3b1eddea5c97fe2f0dbe93f923cac67a5bb7f2185614075e5811dcbfcb810410b418840731926c19cb316cd1993dd473d4ff687bf116cad4b423346d5f795761f8e072002108b4f3b971e35f9109fd2ff350967d26a1c6a69092394e8f0b1b95fa75b38d341aab6ca6daefd79c10275cabaf0aafaa93df07f8c9dd55b479b9ed42bf4e1a785c833
Sent,009ea63c2e28f6a515db05916f5b76c259b7bc7f1325e11f009a65f575c7b0de1a162b9a2c12f780f46d213a17c92a778cd0b45fb2acd54291b409b9425cfc191a388c0c28fa4a96e020ce7b9162820563c206f555ec486a76198f374ea2e3bbc3c195645cc868e0d2da71edc41a8f9e95d0dee7db14f9429adacd594499ca9eccf4b70cca7fd1c077634c02ebb19488c3862005e819eac8477db668bc207c5e
Sent,009ea554631c91d6456c23b66fc58a0c70bc895e45a65366c07aa137a5f571321c80fffe576330f171ccb86aa5854ec0aae72f4b9e80a6d2c523ab05825f994a2e9295389f1da81ef24401d2f0ee57790796e8ba8e8615bcce92122f167f0926f15693270e975e2d324bb151a27373d2f02d339cf460d8026329adfb9dd2627b9c8be649e3f716378bb73be5e1816698d435984c5cf775813817ed6370243d36
Sent,005a4e1f26e7fd2b868c00dadd281274e07df4fca4779d52c9232de0649e256ab1fdb0e725713735f4b676d0be85f0ad655acdd55675a79e93ce38ab5a46c1c4d7cb25f11abcfa82c28d4380472899f410c95c8ac2386a06ea85f1b1
Sent,003a0d5f4fa00c7a611e05cc1454160d9a9425451c355b25db29cb22c4be2e3c86432cffcf7ae8f69a3c02e5399128ec9b31e76725af2edfdc83b04c
Sent,009efe44955dbf5e1f5644991dc30540138650f52c9f9ca367ba855344d7a6efae7f04baa520155c0d2d2df5050e3755d35f9fe87ad752e92ecf1593ca05f2d466c58effa7afd908bf68dd96e81378ff47727a2b5a5707b68e29a984404b3410a8e952a864f7b609c1d47f4c8fa07aaa3dc0fd08eebcc4f39a71e10ca38bfe84f61effe6f5a59ae402328bda88af7199cb729a3bf4b5dff9870a0e7583166a69
Sent,009e62173c07428451ba53d547a05e6fe063643982614acd28605e2c0070ba31738046141baf3917843278ea9e9e20a9d46ec62be572c9b2c952a0e6d3353b1586568e08bb8ffb3f18098cff27f2f38521dcf7e7fd513c99b64aac6e0ed94d92958da25411dbd3775f604238a71a640909cdb54a3b04cc8758813f2d4c3a0df8a237bbeceec7b8051fd5f7671d98530854bc4782f5907a96a2912578166f87cc
Received,275e216f9ef4b79b38a82fbcb3d86f9a80b03330c5a31484756da26f7ec6d4a5320f60ee9972ac4aa1f24e2b29335656a79b59197afb31a16c4bbd3af14b51e4be33ac2e47a34aeceb9c1e4fbce2891372c13760c1ff03d693592f77b65d1f89929f3afcb423f71daa5bb9b5b6a88ab62141c202830388d6c8c1c7a7e57b8f9e648bd52d82342a135743892cd03507d646d10d72743d285e799046953ddf1eaa806379569590b5555b384fbc6580d0dedd549c12ae982f837a578e75139a441ba0b6459e3df6ffb14b9344743a6f31b1e8c5dc5c6137dba8b72bd6b6c54c9497624ac6ff4377d1e4469da650ade434c1cd77986d8571a31982b468039ca6199b585896799dddf2a43dec81b5646e7a047ee84801249c6e638d328f2f4f07a718f38ae0bef1823ea2c4fb7ad435491574d992d52c68007a50d9c5248092d6fda98462c128566466650f0bb1472a1c7a871cd583327e3b28e694584701b2542357c1e7b45681aef17189afaba3717aec01cc553779c96e1d60a6227ed722076bdab54b2955f8c1182101698f83b48576ea05d081d32bbef00e8527876b37e8e02c130a35df2f00f33d02e921667e7538a7a1007a3f59d2f020a4bee0344cf30fa4aff40388af59b1da18b67e49d4bd183934a9b44c6a59464c4e061cb5bfa4feec4e4d648207aca350e7902097c84220e4c35c29b7e03e4fe2eddbef6cb6ef66be2a037728cb9dcdd11378da7b83426704de790bfe67871b2e131bf3bba614b40318dd6ff98d53186cb00970fd8f01b0ef1bf7c7dab3e85b8b70eabc205a71eff8d82ffa55dd3fdfd9b6f0e1a55b63bef7474e5f90adb9bf23b597961fb1550ff75645a968def5e3e41e3c89568012cf23e8909108733a8f4f46974c0dd92602b52c5fff857f1c3413cd981af29cbceb49dd3243e58984e35129d4d0bd84d2379e2e7e1c80ef28d97a611da1071a5b39f88b4a7b33a2188b06aeac43a927522b48d050fad1fdaaf57376d922d99bfd13f41b71a56e4f6257b18e71a22a84b1c4bec8d809c1782a5865d604f3dda334709201d0ae9c13110acd24a5db87bef6b26850daf0c8127b568756d93e24c82e391754b25ec857ddc7929ab2c9a0a9f69fb39f44411eb37a858d2723123c2d68ae7c911064cdd233bedd1a6ddcd965f5e3f906f9811b13f6a219ae18261c1d9a500b4b53905a5e40fdb2c35ff2bb33946cc49c69edc7694605fc164c58202c47313ac8161be6b67219b316384c3c3c9f8e8409c194a5f2a7f1c59b98fa7d07505a446eb815fd14d8b089f586d557fd7cd0cd4524be193021890c1e4e1ff5ba1de53e93cc99630c1bc0fc000a8cc409ccc956b3517ed4e1bea61ce337823ecaf6883a0e3e404f4781f07741e506c30e140700e492402ca886fa130a080a741f13654d54602ff2332a33e710a8d044cba4aa81b2ebd013462571654901797ac4eb5458c4f10731af1eb9229b88da174863bed5a8793e942710c6465959260648e0269963942b43ac2e5a8c0ab02b8061e53916781113ca01c11e9c5dc1afa692cfa6ed98145018a6eb0833fc2db88644c0ccce5d1fb57224e020aad889210b7ec9311369ec08430ca80b7c2a8e494047e5a26b0e7b36ae6a555f39659db7188bb35082a9a0afbfef4cf6497694258776472863dbd76e794017ded47488ae600c78fa68855b0a5adb60e3921d1551a547ac318a2eb492bf5b
Sent,003a42af3d9aea9a5d40ba41719246b972c422e7393927d404426d44d68738f1853bfb7f42d0e545f2cbbe43827713cd8ce8ce84f9251054c41dabc8
Sent,009e4c65b8bb7f9a1df3ab7bd18a759da89fac23e1c1328d2c8ad0d9251f396d321add0bd8966374a8aae577a9009e81a179685f487d35394fc5505ac1be5bbde0315468db05b37985c91c59af3c15b739276489b3c72e41baf6af7f683359ba9d9f25dcb617bb34e6625656728e1d8f7d64e6270e872f753b3c639fc28960b7157b785e98f52317b03b4a91d903d7eef925141cfa846acc74491d483dd8db23
Sent,007a9a1ffd8dbd6e6e4a6478f181054d09ecdca19652cfb4a079d931da0ccb04cee2f58589ce8cc42e52343e422d5914da6f87cebc54ea1121ae758ae87a2636293d73e3fcea26d45140be6a4948a4c5513275fe9acd88885fee25863621ddfaebf5a02fa93418f7b51f3517d4f72d229f01b9972ff7566ae4611bc6
Sent,005afacd9953bc7d733427c33a723eecc8c9d783bab8a89100364fb81f357b3019e5c08b1d2fbd6ff590547ec3245db7c6ea1b93268429e3b63190838c774c6f7381458f9fd98b41e9702fa21a9cd9351c45cc1e857c39f325c94a94
Sent,009ec330d8d10bb2bdd53887c69103185b8f41991ad3b525a291ed3cec8c037e92ca919a8e54c2b98913fb6e6fec3c8425f9c1feaf418c380509b21ff5e26d2e96ac045a2e6297800bffe5833e16bbcb551f3687efdc060a5797fc7a1a54e4d47a4bb287f5dc259d7d82d7836960b16708e6dbc5ff6528a64d2e2984a0124d45d73f05bc82a9cd3a19a30907f59b81870767768fee5cb75839e2362883fe2b90
Sent,009ee2082dc68c326a8e64dc33e67b3cf61eba2ff85b96b80dabb8a5834c54992f1590e1764cbc19949b1b130243ac73a397c0ef595c768b0c84b0d2148ac037e936d6aee5580c46009df522b85a33d61e1914289c5abbcd48366f9df2482420c1f47b1f955e88b03373c4225b4dfb2d160d376d8e265c4c72249b033c566ae57f5fd4735f9cf2960f5fd4fb7ee7571a13551a8b4b70679818d02a20b1dee1dd
